Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0402,3,100n,
C5,0805,1,22u,
"D1, D4, D5, D6",0603,4,LED,
"D2, D3, D7",D_SOD-523,3,ESD5Zxx,
"J1, J2, J3",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x08_Pin,
"R1, R2, R3, R4, R5",0402,5,1K5,
"R6, R7",0805,2,10K,
U1,XDCR_LSM6DSV16XTR,1,LSM6DSV16XTR,
U2,SON125P500X300X100-8N,1,MS5611-01BA03,
