Comment,Designator,Footprint,LCSC Part #
100n,"C1,C3,C4",C_0402_1005Metric,
22u,"C2,C5",C_0805_2012Metric,
LED,"D1,D4,D5,D6",LED_0603_1608Metric,
ESD5Zxx,"D2,D3",D_SOD-523,
1K5,"R1,R2,R3,R4,R5",R_0402_1005Metric,
ICM-42688-P,U1,PQFN50P300X250X97-14N,
MS5611-01BA03,U2,SON125P500X300X100-8N,
